factor,total_return,annual_return,annual_volatility,sharpe,sortino,max_drawdown,calmar,win_rate,skewness,kurtosis,best_day,worst_day,n_periods,mean_ic
Momentum,-0.1358708374535751,-0.020939433652136463,0.10850023854803788,-0.14071385878192788,-0.23881920540830634,-0.3134951765435502,-0.06679347951379913,0.4370327774583094,-0.3428489853877421,5.348421709084164,0.042828589923547045,-0.05030186460915049,1739,-0.010331395797865014
RSI,-0.022222463767814005,-0.003251299893190729,0.08210929169605252,0.0012690670574360212,-0.06418017384437695,-0.1613434466588018,-0.020151422078309496,0.4864864864864865,0.7504499402337235,8.118571856348835,0.054052028041288044,-0.027095989956189528,1739,0.013792265475044502
Low_Vol,-0.08382681103833434,-0.012606786632414213,0.1185249853170456,-0.04778602800590636,-0.14931182422139277,-0.31869780503591855,-0.03955718060560027,0.46923519263944796,-0.04016516333695139,3.4388628880932828,0.04122907095591298,-0.03555197520342255,1739,0.004497488899529462
Mean_Rev,0.10864215057620163,0.015057767058097804,0.09034207785716263,0.21057568919779304,0.25102508143574115,-0.14508062440985656,0.1037889595481697,0.496262219666475,0.04158303490797842,2.4970927229486435,0.02644459576499608,-0.027827467702146946,1739,0.022414836052690866
Composite,0.014015151442628992,0.0020188825431435298,0.0792309668870859,0.06507477063809596,0.034576492318223136,-0.15690790284548456,0.012866672146728195,0.4226566992524439,-0.18525435601454002,3.6890876296820396,0.01972869548786836,-0.04035128983138615,1739,0.0
