metric,value,dollar_value
VaR_95_hist,0.01718612225530186,17186.12225530186
VaR_99_hist,0.032834816816547256,32834.81681654726
ES_95_hist,0.029731093409046668,29731.09340904667
ES_99_hist,0.052721925852398564,52721.92585239856
GARCH_vol_forecast,0.005754184551164783,
GARCH_VaR_95,0.00946479132913152,9464.791329131522
Worst_stress_loss,195500.00000000006,195500.00000000006
